id,type,time,author,author_id,re_tweeter,associated_tweet,text,links,hashtags,mentions,reply_count,favorite_count,retweet_count
1229911472009965568,tweet,1582068720000,daniellimas,22958648,,1229911472009965568,"#coronavirus @Apple, fornecedores e rivais sofrem com paralisações http://bit.ly/2uW5aqj  Via @ReutersBrasil",['https://t.co/FlQKp2YMA3'],['#coronavirus'],"['@Apple', '@ReutersBrasil']",0,0,0
1229911471464816645,tweet,1582068720000,GuerraTailer,1099710215321276417,,1229911471464816645,"El director del hospital Wuchang en la provincia china de Hubei, epicentro del coronavirus COVID-19, murió este martes de esa epidemia que continúa sin cura, cuando el número de contagiados por el patógeno disminuye en forma paulatina. #Cuba #ChinaCoronaViruspic.twitter.com/kESY5QaVPQ",['https://t.co/kESY5QaVPQ'],"['#Cuba', '#ChinaCoronaVirus']",[],0,1,1
1229911469086498816,tweet,1582068719000,RosemaryHagrav1,982952046989983745,,1229911469086498816,"Global coronavirus death toll passes 2,000https://cnn.it/2u7zI8d",['https://t.co/HuTTR7Yk6l'],[],[],0,0,0
1229911468298194945,tweet,1582068719000,roverradar,24825097,,1229911468298194945,South Korea says it’s successfully treating coronavirus patient with natural oxygen therapy https://www.newstarget.com/2020-02-18-south-korea-successfully-treating-coronavirus-oxygen-therapy.html …,['https://t.co/A2gkBGM4al'],[],[],0,0,0
1229911460668739584,tweet,1582068717000,k_welch88,769240414238875648,,1229911460668739584,"If the coronavirus really came from a meteorite, that completely changes people’s views on religion right?",[],[],[],0,0,0
1229911458428833792,tweet,1582068716000,ImStormyKnight,246552964,,1229911458428833792,#COVID19 #coronavirus #nCoV2019 @looknerHubei Province Virus Data seems to vary on the translation!Using BING Translator Last 4 entries are reductions NOT additions!https://www.bing.com/translator/?text=2020%E5%B9%B42%E6%9C%8818%E6%97%A50%E2%80%9424%E6%97%B6%EF%BC%8C%E5%85%A8%E7%9C%81%E6%96%B0%E5%A2%9E%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E%E7%A1%AE%E8%AF%8A%E7%97%85%E4%BE%8B1693%E4%BE%8B%EF%BC%8C%E5%85%B6%E4%B8%AD%EF%BC%9A%E6%AD%A6%E6%B1%89%E5%B8%821660%E4%BE%8B%E3%80%81%E5%AD%9D%E6%84%9F%E5%B8%8224%E4%BE%8B%E3%80%81%E4%BB%99%E6%A1%83%E5%B8%8218%E4%BE%8B%E3%80%81%E9%BB%84%E5%86%88%E5%B8%8216%E4%BE%8B%E3%80%81%E5%8D%81%E5%A0%B0%E5%B8%8212%E4%BE%8B%E3%80%81%E9%84%82%E5%B7%9E%E5%B8%824%E4%BE%8B%E3%80%81%E8%8D%86%E5%B7%9E%E5%B8%824%E4%BE%8B%E3%80%81%E5%AE%9C%E6%98%8C%E5%B8%823%E4%BE%8B%E3%80%81%E9%9A%8F%E5%B7%9E%E5%B8%822%E4%BE%8B%E3%80%81%E8%A5%84%E9%98%B3%E5%B8%822%E4%BE%8B%E3%80%81%E8%8D%86%E9%97%A8%E5%B8%821%E4%BE%8B%E3%80%81%E5%92%B8%E5%AE%81%E5%B8%82%E6%A0%B8%E5%87%8F36%E4%BE%8B%E3%80%81%E5%A4%A9%E9%97%A8%E5%B8%82%E6%A0%B8%E5%87%8F14%E4%BE%8B%E3%80%81%E9%BB%84%E7%9F%B3%E5%B8%82%E6%A0%B8%E5%87%8F2%E4%BE%8B%E3%80%81%E6%81%A9%E6%96%BD%E5%B7%9E%E6%A0%B8%E5%87%8F1%E4%BE%8B%E3%80%82&from=zh&to=en …pic.twitter.com/bgEBUprW4I,"['https://t.co/MoFAIqIG5o', 'https://t.co/bgEBUprW4I']","['#COVID19', '#coronavirus', '#nCoV2019']",['@lookner'],0,0,0
1229911457472679936,tweet,1582068716000,Jr_Bassman,285949931,,1229900403753603072,"Son una vergüenza, han expuesto a esa señora. Sinceramente no creo que estén preparados para una situación de #coronavirus confirmadoBasta con ver los protocolos que siguieron con ella para entender ""la preparación"" que tienen respecto al caso. Esto es #Honduras y es lamentable",[],"['#coronavirus', '#Honduras']",[],0,0,0
1229911457137152000,tweet,1582068716000,howYERdoin,1471289029,,1229911457137152000,I guarantee them niggas diagnosed with coronavirus sitting there thinking this is the beginning of the end of the world,[],[],[],0,0,0
1229911455539044353,tweet,1582068716000,ThomasAMartin2,2296966237,,1229911455539044353,"Given the high volume of words and hedging here, I’m not sure how useful this is. But it’s the best available information. Maybe the comparison to SARS says enough?2019 Novel Coronavirus (2019-nCoV) Situation Summary | CDC https://www.cdc.gov/coronavirus/2019-ncov/summary.html …",['https://t.co/X3upxw0YP7'],[],[],0,0,0
1229911455438376960,tweet,1582068716000,bautivarine,745846592,,1229860633383968770,El coronavirus neoliberal (?),[],[],[],0,0,1
